,,,minimum,maximum,interactive
CD127,,5k_pbmc_protein_v3,1.4,1.9,False
CD127,,5k_pbmc_protein_v3.h5,1.340441144,1.9,False
CD127,,pbmc_10k_protein_v3,1.4,1.9,False
CD127,,pbmc_10k_protein_v3.h5,1.4,1.9,False
CD127,,pbmc_1k_protein_v3.h5,1.374679009,2.0,False
CD127,,,1.4,1.9,False
CD14,,5k_pbmc_protein_v3,1.4,2.2,False
CD14,,5k_pbmc_protein_v3.h5,1.4,2.249727945,False
CD14,,pbmc_10k_protein_v3,1.4,2.2,False
CD14,,pbmc_10k_protein_v3.h5,1.4,2.303778862,False
CD14,,pbmc_1k_protein_v3.h5,1.288714206,2.041101231,False
CD14,,,1.4,2.2,False
CD19,,5k_pbmc_protein_v3,1.6999999999999995,2.4,False
CD19,,5k_pbmc_protein_v3.h5,1.9,2.383089411,False
CD19,,pbmc_10k_protein_v3,1.7000000000000002,2.4,False
CD19,,pbmc_10k_protein_v3.h5,1.9,2.4,False
CD19,,pbmc_1k_protein_v3.h5,1.172248087,2.275669079,False
CD19,,,1.7000000000000002,2.4,False
CD3,,5k_pbmc_protein_v3,1.5,2.4,False
CD3,,5k_pbmc_protein_v3.h5,1.491614142,2.519185327,False
CD3,,pbmc_10k_protein_v3,1.5,2.4,False
CD3,,pbmc_10k_protein_v3.h5,1.4638821169999998,2.3,False
CD3,,pbmc_1k_protein_v3.h5,1.422714081,2.243532176,False
CD3,,,1.5,2.4,False
CD33,,5k_pbmc_protein_v3,0.0,0.5,False
CD33,,5k_pbmc_protein_v3.h5,0.0,0.5,False
CD33,,pbmc_10k_protein_v3,0.0,0.5,False
CD33,,pbmc_10k_protein_v3.h5,0.0,0.5,False
CD33,,pbmc_1k_protein_v3.h5,0.0,0.5,False
CD33,,,0.0,0.5,False
CD56,,5k_pbmc_protein_v3,1.3,2.1,False
CD56,,5k_pbmc_protein_v3.h5,1.2,2.1,False
CD56,,pbmc_10k_protein_v3,1.3,2.1,False
CD56,,pbmc_10k_protein_v3.h5,1.250587343,2.2,False
CD56,,pbmc_1k_protein_v3.h5,1.5,2.1,False
CD56,,,1.3,2.1,False
JCHAIN,,5k_pbmc_protein_v3,2.8,4.763020515441895,False
JCHAIN,,5k_pbmc_protein_v3.h5,4.5,5.1,False
JCHAIN,,pbmc_10k_protein_v3,2.8,4.8,False
JCHAIN,,pbmc_10k_protein_v3.h5,5.5,6.3,False
JCHAIN,,pbmc_1k_protein_v3.h5,4.5,4.9,False
JCHAIN,,,2.8,4.8,False
MARCO,,5k_pbmc_protein_v3,0.0,0.5,False
MARCO,,5k_pbmc_protein_v3.h5,0.0,0.5,False
MARCO,,pbmc_10k_protein_v3,0.0,0.5,False
MARCO,,pbmc_10k_protein_v3.h5,0.0,0.5,False
MARCO,,pbmc_1k_protein_v3.h5,0.0,0.5,False
MARCO,,,0.0,0.5,False
MERTK,,5k_pbmc_protein_v3,0.0,0.7,False
MERTK,,5k_pbmc_protein_v3.h5,0.0,1.1,False
MERTK,,pbmc_10k_protein_v3,0.0,0.7,False
MERTK,,pbmc_10k_protein_v3.h5,0.0,0.5,False
MERTK,,pbmc_1k_protein_v3.h5,0.0,0.5,False
MERTK,,,0.0,0.7,False
CD14,,,1.4,2.2,False
JCHAIN,,,2.8,4.8,False
MARCO,,,0.0,0.5,False
MERTK,,,0.0,0.7,False
CD19,,,1.7000000000000002,2.4,False
CD33,,,0.0,0.5,False
CD127,,,1.4,1.9,False
CD56,,,1.3,2.1,False
CD3,,,1.5,2.4,False
CD4,,5k_pbmc_protein_v3,1.3,2.2,False
CD4,,5k_pbmc_protein_v3.h5,1.3674173224427857,2.2481605587213265,False
CD4,,pbmc_10k_protein_v3,1.3000000000000005,2.2,False
CD4,,pbmc_10k_protein_v3.h5,1.3180343221998312,2.191994073294838,False
CD4,,,1.3000000000000005,2.2,False
CD4_gex,,5k_pbmc_protein_v3,0.0,0.4999999999999999,False
CD4_gex,,5k_pbmc_protein_v3.h5,0.0,0.5,False
CD4_gex,,pbmc_10k_protein_v3,0.0,0.5,False
CD4_gex,,pbmc_10k_protein_v3.h5,0.0,0.5,False
CD4_gex,,,0.0,0.4999999999999999,False
CD8A_gex,,5k_pbmc_protein_v3,0.0,0.5,False
CD8A_gex,,pbmc_10k_protein_v3,0.0,0.5,False
CD8a,,5k_pbmc_protein_v3,1.5,2.5000000000000004,False
CD8a,,5k_pbmc_protein_v3.h5,1.529213107778434,2.404277016230222,False
CD8a,,pbmc_10k_protein_v3,1.5,2.5,False
CD8a,,pbmc_10k_protein_v3.h5,1.4922827183327376,2.511059752825799,False
CD8a,,,1.5,2.5000000000000004,False
EOMES,,5k_pbmc_protein_v3,0.0,0.4999999999999999,False
EOMES,,5k_pbmc_protein_v3.h5,0.0,0.5,False
EOMES,,pbmc_10k_protein_v3,0.0,0.4999999999999999,False
EOMES,,pbmc_10k_protein_v3.h5,0.0,0.5,False
EOMES,,,0.0,0.4999999999999999,False
LILRA4,,5k_pbmc_protein_v3,0.8999999999999999,1.0,False
LILRA4,,pbmc_10k_protein_v3,0.9,1.0,False
LILRA4,,,0.9,1.0,False
CD8A,,5k_pbmc_protein_v3.h5,1.529213107778434,2.404277016230222,False
CD8A,,pbmc_10k_protein_v3.h5,1.4922827183327376,2.511059752825799,False
CD8A,,,1.5,2.5000000000000004,False
